ticker,industry,market_cap
PYPL,Business Services,$62.27B
ETM,Broadcasting,$415.27M
BBT,Major Banks,$35.97B
AVIR,Biotechnology: Biological Products (No Diagnostic Substances),$20.87M
GAINO,n/a,n/a
FBMS,Major Banks,
BTA,n/a,$159.86M
C.WS.A,n/a,n/a
KODK.WS.A,n/a,n/a
IMKTA,Food Chains,$687.82M
TYHT,Farming/Seeds/Milling,$77.2M
NBTB,Major Banks,$1.64B
CLRO,Telecommunications Equipment,$84M
RDWR,Business Services,$759.26M
NQ,Computer Software: Prepackaged Software,$330.29M
XCRA,Electrical Products,
PCBK,Major Banks,$581.41M
CLMT,Integrated oil Companies,$329.78M
HCA,Hospital/Nursing Management,$30.6B
FUSB,Major Banks,$70.79M
SGY,Oil & Gas Production,$470.4M
FMI,Medical Specialities,$1.35B
UNFI,Food Distributors,$1.79B
BCR,Medical/Dental Instruments,$22.71B
VRTX,Major Pharmaceuticals,$30.67B
MS^I,n/a,n/a
FPAY,Diversified Commercial Services,$22.21M
ENTL,Medical/Dental Instruments,$311.65M
PKI,Biotechnology: Laboratory Analytical Instruments,$7B
EL,Package Goods/Cosmetics,$35.86B
SPKE,Power Generation,$806.93M
LIVN,Biotechnology: Electromedical & Electrotherapeutic Apparatus,$2.97B
KEQU,Medical Specialities,$61.97M
FNCX,"Computer Software: Programming, Data Processing",
PHII,Transportation Services,$158.76M
GEL,Oil Refining/Marketing,$3.65B
LONE,Oil & Gas Production,$87.3M
CPST,Industrial Machinery/Components,$28.65M
YERR,Real Estate,$2.51B
BBD,Major Banks,$50.2B
LNTH,Biotechnology: In Vitro & In Vivo Diagnostic Substances,$562.75M
PNC^P,n/a,n/a
NIE,n/a,$543.65M
ADHD,Major Pharmaceuticals,$30.87M
CHI,n/a,
ACC,Real Estate Investment Trusts,$6.48B
MMM,Medical/Dental Instruments,$127.36B
RPXC,Multi-Sector Companies,$656.65M
PVTB,Major Banks,$4.87B
IMDZ,Major Pharmaceuticals,$184.11M
ENR,Industrial Machinery/Components,$3.18B
AGM^C,n/a,n/a
TLT,n/a,$7.54B
KKR^A,n/a,n/a
IPWR,Industrial Machinery/Components,
NFJ,Finance: Consumer Services,$1.24B
SRF,n/a,$20.79M
TCAP,n/a,$842.05M
PRE^G,n/a,n/a
MDR,Metal Fabrications,$1.78B
ZBRA,Industrial Machinery/Components,$5.5B
EMKR,Semiconductors,$299.12M
CBG,Real Estate,$11.84B
KSM,n/a,$139.99M
ATSG,Air Freight/Delivery Services,$1.31B
MDCA,Advertising,$436.93M
AFMD,Major Pharmaceuticals,$87.88M
YUME,Advertising,$163.2M
BMRN,Major Pharmaceuticals,$15.44B
VUZI,Radio And Television Broadcasting And Communications Equipment,$123.47M
FDUS,n/a,$383.58M
CBPO,Biotechnology: Biological Products (No Diagnostic Substances),$3B
QTRH,Multi-Sector Companies,$175.49M
ARC,Professional Services,$196.39M
AIG.WS,n/a,
MT,Steel/Iron Ore,$20.56B
KMG,Major Chemicals,$581.4M
KAP,n/a,n/a
SMIT,Industrial Machinery/Components,$5.69M
IDE,n/a,$296.89M
LONE,Oil & Gas Production,$87.3M
BYSI,Major Pharmaceuticals,$835.65M
WTTR,Oilfield Services/Equipment,$834.73M
GLYC,Major Pharmaceuticals,$396.21M
MRDN,Miscellaneous,$21.66M
BX,Investment Managers,$39.13B
KMF,n/a,$315.53M
INST,Computer Software: Prepackaged Software,$751.86M
VBLT,Major Pharmaceuticals,$122.41M
DBD,Office Equipment/Supplies/Services,$2.01B
CLRO,Telecommunications Equipment,
AMG,Investment Managers,$9.3B
FIZZ,Beverages (Production/Distribution),$4.16B
CLS,Electrical Products,$1.69B
MFC,Life Insurance,$36.08B
CVNA,Automotive Aftermarket,n/a
TEDU,Other Consumer Services,$1.03B
PNC^P,n/a,n/a
CXO,Oil & Gas Production,$17.36B
ORBK,Industrial Machinery/Components,$1.59B
PSMT,Department/Specialty Retail Stores,$2.58B
PDVW,Telecommunications Equipment,$335.5M
LNN,Industrial Machinery/Components,$914.46M
CALI,Motor Vehicles,$8.19M
NDRO,Oil & Gas Production,$113.85M
CFCOU,Business Services,n/a
WBK,Commercial Banks,$78.03B
IMED,n/a,
CWST,Environmental Services,$660.87M
TIVO,Multi-Sector Companies,$2.25B
GBL,Investment Bankers/Brokers/Service,
LGI,n/a,
BX,Investment Managers,$39.13B
UBSI,Major Banks,
ARAY,Medical/Dental Instruments,$361.05M
CALX,Telecommunications Equipment,$359.11M
ACRX,Major Pharmaceuticals,$108.91M
CERS,Medical/Dental Instruments,$233.83M
CFA,n/a,$8.83M
TS,Steel/Iron Ore,$18.32B
MFIN,Finance: Consumer Services,$55.6M
PCLN,Business Services,$88.58B
PBB,n/a,n/a
PRAH,Biotechnology: Commercial Physical & Biological Resarch,$4.54B
CCLP,Oilfield Services/Equipment,$162.82M
PTF,n/a,$122.88M
EVR,Investment Managers,$2.95B
GTLS,Metal Fabrications,$1.07B
AAV,Oil & Gas Production,$1.15B
AETI,Industrial Machinery/Components,$12.31M
CHSCN,Farming/Seeds/Milling,$497.62M
PPC,Meat/Poultry/Fish,$5.84B
LOW,RETAIL: Building Materials,$67.37B
AM,Natural Gas Distribution,$6.02B
HLF,Other Pharmaceuticals,$6.7B
TSI,n/a,$271.82M
PRA,Property-Casualty Insurers,$3.28B
ITRI,Electrical Products,$2.68B
MDVXW,Medical/Dental Instruments,n/a
TPH,Homebuilding,$1.98B
CUBA,n/a,
